p2train-0	他 们 觉 得 父 母 的 行 为 方 式 和 价 值 观 念 太 不 老 了 	18 
p2train-1	所 以 对 学 习 的 发 展 造 成 影 响 	6 7 8 
p2train-2	但 那 些 人 也 毕 竟 是 少 数 的 	11 
p2train-3	两 代 人 互 相 尊 重 别 一 代 的 话 	8 9 10 
p2train-4	我 想 帮 他 的 学 习 汉 语 	5 
p2train-5	这 个 是 代 沟 发 生 的 大 原 因 	9 
p2train-6	保 护 生 态 污 染 是 很 重 要 的 	5 6 
p2train-7	所 以 上 一 辈 的 讲 话 听 起 来 只 为 是 让 管 教 自 己 	14 15 
p2train-8	在 这 一 切 中 都 需 要 有 声 音 来 决 定 的 	15 
p2train-9	三 个 月 也 飞 快 地 过 去 了 	4 
p2train-10	学 习 汉 语 可 是 个 苦 比 乐 更 多 	7 
p2train-11	但 还 仍 然 有 很 多 不 足 之 处 	2 
p2train-12	在 人 口 密 集 的 商 业 中 心 当 然 人 太 多 	11 12 
p2train-13	教 室 里 的 人 都 是 个 女 的 	8 
p2train-14	吸 烟 对 人 民 个 人 健 康 的 害 处 早 已 是 家 喻 户 晓 的 	4 5 
p2train-15	要 是 我 家 里 人 的 谁 得 了 不 治 之 症 	7 
p2train-16	我 不 是 反 对 男 女 分 班 的 	10 
p2train-17	记 对 我 影 响 最 大 的 一 个 人 是 我 的 母 亲 	1 
p2train-18	而 生 存 主 要 靠 着 吃 的 东 西 	7 
p2train-19	每 次 面 对 困 难 的 时 	7 
p2train-20	就 是 父 母 是 孩 子 的 第 一 任 老 师 的 	14 
p2train-21	独 立 心 强 的 人 的 话 	7 8 
p2train-22	这 对 青 少 年 们 造 成 不 良 的 影 响 	6 
p2train-23	不 由 而 然 地 想 起 您 二 位 的 养 育 之 恩 	3 4 
p2train-24	对 代 沟 问 题 得 到 解 决 	1 
p2train-25	可 见 对 孩 子 来 说 在 身 边 的 人 是 多 么 重 要 的 	18 
p2train-26	那 天 正 好 我 有 了 高 考 	7 
p2train-27	我 觉 得 人 们 大 多 数 人 的 健 康 很 重 要 	6 7 8 9 
p2train-28	但 是 我 希 望 我 们 能 从 中 筛 选 一 些 对 于 我 们 对 于 社 会 有 益 的 歌 手 	27 
p2train-29	本 人 先 致 以 万 二 分 的 谢 意 	7 
p2train-30	但 虽 然 不 陌 生 	1 
p2train-31	所 有 的 乐 事 在 于 口 语 	7 
p2train-32	先 考 虑 好 自 己 要 不 要 取 安 乐 死 	10 
p2train-33	地 球 上 最 不 好 的 生 物 是 人 的 	12 
p2train-34	如 果 互 相 让 一 步 自 己 的 意 见 	8 9 10 11 12 
p2train-35	一 开 始 孩 子 都 会 跟 父 母 学 生 活 	11 
p2train-36	就 选 择 自 杀 方 式 	6 7 
p2train-37	但 我 想 我 爸 爸 实 在 特 别 特 别 ： 物 理 学 家 	11 12 
p2train-38	他 已 经 不 在 这 个 人 世 了 	6 7 
p2train-39	我 大 一 年 的 时 候 什 么 都 不 做 每 天 就 玩 儿 	4 
p2train-40	在 中 学 这 一 个 非 常 时 期 	1 
p2train-41	也 就 是 说 把 在 全 世 界 生 产 的 粮 食 归 于 全 世 界 	6 
p2train-42	与 方 便 联 络 我 的 地 址 是 	1 
p2train-43	要 坚 持 着 靠 自 己 做 事 情 	4 
p2train-44	能 够 对 人 和 事 物 的 看 法 能 够 保 持 肯 定 的 态 度 	11 12 
p2train-45	当 然 说 起 来 容 易 做 起 来 难 的 	12 
p2train-46	所 以 我 和 他 之 间 没 有 个 人 性 的 关 系 	12 
p2train-47	而 且 希 望 他 的 长 寿 	6 
p2train-48	现 在 我 在 有 一 所 外 语 培 训 学 校 教 日 语 	5 
p2train-49	但 怎 么 能 自 己 决 定 去 什 么 样 的 学 校 是 比 较 难 的 	2 3 4 
p2train-50	更 是 一 个 重 要 的 而 正 常 的 社 交 场 所 	7 
p2train-51	在 人 类 的 脑 海 深 处 都 埋 藏 着 “ 人 多 好 办 事 ” 这 一 个 道 理 	21 
p2train-52	吸 烟 对 个 人 健 康 和 公 众 利 益 方 面 的 影 响 的 确 是 很 大 	13 14 
p2train-53	对 我 来 说 最 理 想 的 是 先 是 好 朋 友 后 才 该 谈 恋 爱 	17 
p2train-54	和 使 农 产 品 更 大 更 好 看 	1 
p2train-55	从 毕 业 后 一 直 从 事 有 关 中 国 的 工 作 	1 
p2train-56	有 点 儿 怕 遇 到 的 事 情 了 	10 
p2train-57	我 觉 得 这 位 医 生 做 的 完 全 是 一 种 发 自 内 心 的 一 种 行 为 	20 21 
p2train-58	男 生 女 生 一 起 度 过 学 生 时 代 才 对 了 	15 
p2train-59	所 谓 的 为 了 避 免 早 恋 只 是 家 长 的 一 个 借 口 	4 5 
p2train-60	汉 语 的 语 法 离 西 方 语 言 的 很 远 	11 
p2train-61	人 们 都 通 过 交 流 才 能 互 相 理 解 	3 
p2train-62	可 是 她 的 一 个 儿 子 是 出 生 不 久 就 死 了 	9 
p2train-63	我 在 路 上 或 室 内 上 经 常 能 看 到 有 人 吸 烟 	8 
p2train-64	我 母 亲 想 让 我 当 一 个 弹 钢 琴 家 的 	10 
p2train-65	我 便 把 那 次 的 失 败 当 作 学 习 的 动 力 	2 
p2train-66	那 就 是 喜 欢 听 音 乐 的 达 到 痴 迷 的 程 度 的 	17 
p2train-67	但 是 我 们 的 父 母 和 老 人 是 有 点 儿 不 喜 欢 	11 
p2train-68	我 打 算 今 年 的 暑 假 的 时 候 也 回 日 本 	6 
p2train-69	古 代 没 有 这 个 “ 代 沟 ” 的 名 字 了 	14 
p2train-70	如 果 失 业 失 败 了 	5 6 
p2train-71	我 一 要 会 能 够 克 服 任 何 问 题 	4 
p2train-72	吃 绿 色 食 品 的 当 然 不 是 不 好 的 事 情 	6 
p2train-73	他 对 子 女 子 女 教 育 的 方 法 是 自 由 放 任 式 的 	5 6 
p2train-74	两 个 人 之 间 中 最 重 要 的 	6 
p2train-75	所 以 我 想 死 就 死 是 很 自 私 的 行 为 	3 
p2train-76	就 觉 得 打 水 是 义 务 的 	9 
p2train-77	因 为 她 是 个 我 的 母 亲 	5 
p2train-78	我 觉 得 最 好 的 方 法 还 是 多 的 谈 话 	12 
p2train-79	将 刺 耳 的 喇 叭 声 还 有 恼 人 的 电 话 铃 声 等 等 	1 
p2train-80	但 她 有 了 家 务 要 干 	4 
p2train-81	朋 友 一 起 去 了 	6 
p2train-82	由 这 个 故 事 使 我 想 到 ： 人 一 般 上 是 自 私 的 	1 
p2train-83	有 了 三 个 和 尚 	2 
p2train-84	我 们 也 放 心 的 出 门 	6 
p2train-85	这 是 我 初 中 小 时 的 事 情 	6 7 
p2train-86	由 于 我 正 在 于 妈 妈 的 身 边 	6 
p2train-87	而 人 类 享 受 方 式 的 不 断 变 化 	1 
p2train-88	别 说 我 们 是 不 一 样 	5 
p2train-89	有 一 天 他 把 他 的 名 字 和 电 话 号 码 写 给 我 了 	18 
p2train-90	只 要 经 她 一 教 便 也 不 会 了 	9 
p2train-91	结 果 一 个 人 也 没 有 去 抬 水 的 	12 
p2train-92	就 像 海 棉 一 样 汲 取 着 自 己 各 个 方 面 的 生 存 能 力 	10 11 
p2train-93	对 我 一 生 中 最 难 忘 的 假 期 是 二 0 0 0 年 的 寒 假 	1 
p2train-94	必 然 导 致 两 代 上 的 对 话 隔 阂 	7 
p2train-95	到 底 对 人 的 健 康 有 害 吗 	1 2 
p2train-96	但 如 果 那 里 的 生 活 不 辛 苦 的 话 	9 
p2train-97	两 个 弟 弟 和 我 	5 6 
p2train-98	可 是 这 里 有 很 重 要 的 事 实 吧 	1 2 
p2train-99	我 独 自 去 美 国 加 州 了 	9 
p2train-100	再 怎 样 的 挽 救 都 很 困 难 	4 
p2train-101	我 已 经 花 了 两 年 的 时 间 光 读 	11 
p2train-102	但 不 只 是 只 有 玩 	5 6 
p2train-103	能 多 多 和 中 国 的 政 府 ― 文 化 部 门 沟 通 一 下 	17 18 
p2train-104	所 以 就 在 路 边 的 石 头 上 坐 着 而 休 息 	13 
p2train-105	因 为 我 的 父 亲 也 对 现 在 的 我 影 响 了 很 大 	15 
p2train-106	这 种 的 感 觉 	3 
p2train-107	在 乡 村 里 买 的 话 比 较 贵 	4 
p2train-108	家 中 兄 弟 姐 妹 数 十 多 人 	7 
p2train-109	父 母 与 孩 子 存 在 “ 代 沟 ” 问 题 是 很 普 遍 的 事 	12 13 
p2train-110	大 学 都 所 在 瑞 山 的 	4 
p2train-111	通 过 这 种 的 方 法 	5 
p2train-112	另 一 个 人 从 来 不 重 视 过 爱 	10 
p2train-113	所 以 对 他 们 来 说 那 些 客 套 话 是 个 太 花 时 间 了 	13 14 
p2train-114	一 根 香 烟 内 含 一 种 名 为 尼 古 丁 的 致 癌 物 	1 2 
p2train-115	这 个 就 是 所 谓 说 的 “ 代 沟 ” 	7 
p2train-116	对 患 者 幸 福 吗 	1 
p2train-117	这 句 话 跟 他 的 学 生 时 代 的 经 验 有 关 系 的 	17 
p2train-118	对 不 同 的 人 当 然 会 有 不 同 的 意 见 	1 
p2train-119	但 他 也 可 能 会 因 为 多 了 两 个 同 伴 而 多 少 产 生 依 赖 的 心 理 	1 
p2train-120	也 算 是 对 东 京 上 班 族 的 居 住 区 	4 
p2train-121	互 相 帮 助 的 	5 
p2train-122	好 多 人 都 想 戒 吸 烟 	7 
p2train-123	可 以 使 现 在 的 水 源 保 持 到 以 后 的 生 活 里 需 要 的 时 候 	17 
p2train-124	使 他 们 能 树 立 助 人 为 乐 的 道 德 观 念 	4 
p2train-125	家 人 不 能 知 道 病 人 自 己 的 要 求 是 否 正 常 的 	18 
p2train-126	还 有 当 时 的 情 况 很 难 以 学 习 而 知 识 分 子 的 待 遇 很 好 	8 
p2train-127	可 这 是 只 是 心 里 作 用 而 已 	3 
p2train-128	由 这 样 的 言 传 身 教 	1 
p2train-129	甚 至 没 有 音 乐 的 话 可 不 能 活 下 去 	9 
p2train-130	但 至 到 一 九 六 六 年 的 四 月 的 某 一 天 	2 3 
p2train-131	每 逢 假 期 或 传 统 节 目 上 	10 
p2train-132	学 习 很 紧 张 的 学 生 的 话 	9 10 
p2train-133	那 我 很 多 人 会 回 答 不 挨 饿 是 第 一 位 	2 
p2train-134	石 油 已 经 是 从 生 活 离 不 开 的 资 源 	6 
p2train-135	而 且 现 在 大 企 业 也 正 在 实 行 了 这 项 规 定 	13 
p2train-136	这 跟 中 学 生 是 否 能 谈 恋 爱 这 一 话 题 都 是 老 生 常 谈 的 	22 
p2train-137	还 是 有 一 些 幼 稚 的 地 方 的 孩 子 	9 10 11 
p2train-138	还 是 充 满 他 的 对 我 的 爱 	6 
p2train-139	所 以 很 可 能 大 多 是 地 方 有 道 理 	8 
p2train-140	我 被 分 配 到 他 当 领 导 的 小 组 	7 
p2train-141	都 不 能 喝 水 的 	6 
p2train-142	所 以 人 们 现 在 最 关 心 的 是 对 自 己 的 健 康 	12 
p2train-143	肯 定 没 有 问 题 了 	7 
p2train-144	又 想 起 来 了 去 南 方 旅 行 	5 
p2train-145	我 爸 爸 每 天 来 照 顾 了 我 	9 
p2train-146	先 家 父 有 一 些 产 业 	2 
p2train-147	各 种 各 样 大 量 的 物 品 在 市 场 上 极 少 可 见 	16 
p2train-148	最 重 要 的 就 是 你 所 做 过 的 过 程 	10 
p2train-149	我 是 大 学 毕 业 以 后 在 东 京 教 日 语 	2 
p2train-150	是 世 界 国 家 的 	4 5 
p2train-151	从 小 到 长 大 都 是 父 母 一 直 在 孩 子 的 身 边 	6 7 
p2train-152	在 像 我 们 这 一 代 人 	1 
p2train-153	一 到 每 个 周 末 他 就 要 带 我 去 钓 鱼 	3 4 
p2train-154	离 我 家 到 学 校 太 远 	1 
p2train-155	结 果 吸 烟 有 很 多 不 好 的 地 方 	1 2 
p2train-156	之 所 以 这 样 	1 
p2train-157	但 是 最 近 我 又 感 到 了 一 种 说 不 出 来 的 寂 寞 ： 我 快 要 离 开 这 里 	9 
p2train-158	而 是 为 了 了 解 我 在 生 活 的 这 世 界 	8 
p2train-159	这 次 考 试 比 上 次 多 难 一 些 	8 
p2train-160	挫 折 从 而 变 得 一 蹶 不 振 	1 2 
p2train-161	在 这 座 庙 的 一 个 和 尚 	1 
p2train-162	” 我 说 了 “ 你 猜 猜 吧 	4 
p2train-163	如 果 法 律 效 果 有 问 题 	5 6 
p2train-164	增 加 父 母 和 子 女 能 谈 话 的 节 目 	8 
p2train-165	当 然 有 了 个 阿 姨 看 着 我 	4 
p2train-166	我 去 年 人 民 大 学 经 经 系 毕 业 了 	13 
p2train-167	但 我 却 很 想 要 一 点 的 自 由 	9 
p2train-168	跟 活 着 时 任 何 人 都 能 以 自 己 来 决 定 自 己 的 人 生 一 样 	10 
p2train-169	这 样 的 话 问 题 一 般 可 以 解 决 了 	13 
p2train-170	这 一 点 的 确 是 个 事 实 	2 3 
p2train-171	妈 妈 老 是 给 我 都 强 调 女 人 该 做 的 事 	7 
p2train-172	她 替 因 为 工 作 忙 碌 的 母 亲 抚 养 了 我 	3 4 
p2train-173	进 了 老 和 尚 的 庙 里 	8 
p2train-174	我 也 来 中 国 之 前 也 常 常 听 中 国 的 流 行 歌 曲 	2 
p2train-175	一 起 去 玩 儿 了 	6 
p2train-176	对 我 真 不 满 意 	1 
p2train-177	妈 妈 ： 你 们 一 向 日 子 过 得 好 吗 	6 7 
p2train-178	对 他 们 需 要 的 是 为 享 受 生 活 的 健 康 	1 
p2train-179	生 活 规 律 上 他 们 对 我 很 严 格 了 	13 
p2train-180	我 当 然 同 意 对 不 挨 饿 先 于 吃 “ 绿 色 食 品 ” 的 看 法 	6 
p2train-181	为 了 帮 助 她 的 呼 吸 	6 
p2train-182	但 是 他 们 唱 的 歌 曲 都 是 差 不 多 	10 
p2train-183	有 利 于 提 高 对 工 作 的 效 率 	6 
p2train-184	他 真 是 个 清 白 的 公 务 员 	2 
p2train-185	学 习 汉 语 的 苦 与 乐 我 从 一 九 九 五 年 开 始 学 习 学 了 汉 语 	20 21 
p2train-186	到 那 时 候 以 前 	1 
p2train-187	本 人 以 前 在 旅 游 公 司 里 都 非 常 受 到 公 司 的 器 重 	15 
p2train-188	所 以 我 的 哥 哥 比 我 大 9 岁 	1 2 
p2train-189	人 比 较 多 的 时 	5 
p2train-190	我 想 在 贵 公 司 当 一 个 导 游 工 作 	12 13 
p2train-191	吃 “ 绿 色 食 品 ” 是 人 类 首 先 的 第 一 位 	11 12 
p2train-192	某 孩 子 一 出 生 就 需 父 母 来 扶 养 他 长 大 成 人 	1 
p2train-193	但 是 大 城 市 里 也 有 不 好 的 方 面 	6 
p2train-194	第 三 ： 病 人 本 人 的 同 意 	8 
p2train-195	我 刚 到 中 国 来 时 是 当 我 十 七 岁 的 时 候 	9 
p2train-196	我 们 的 之 间 新 生 了 “ 代 沟 ” 这 个 词 	3 
p2train-197	才 可 以 取 安 乐 死 	4 
